Mode,SeedGroup,Method,Seed,Rounds,ExpectedPayoff,WorstCaseQ5,CE_055,SCShare,EpsNE,RuntimeSec
concentrated,main,MF-RQE,45,21,0.777262077644252,0.656610051171428,0.710903463084199,0.273686364048246,NaN,1.7049588
concentrated,main,CVaR-game,45,28,0.740804248961771,0.730457165061772,0.735113352816771,1.14996634136185e-05,NaN,0.7875224
concentrated,main,DRNE-VI,45,300,0.798288521846065,0.673945431289208,0.729899822039794,0.288843548536262,NaN,0.0222693
concentrated,main,Proposed-Base,46,21,0.759126168201573,0.715682734060793,0.735232279424144,0.100750973016763,0.0295115713618503,0.0222199
concentrated,main,Proposed-Anneal,46,78,0.774010224520407,0.76965521363268,0.771614968532157,9.53536826374993e-05,0.00315266793322055,0.0282494
concentrated,main,Proposed-Coherent,46,28,0.740531473036172,0.730907241485047,0.735238145683053,1.14996634136185e-05,4.66754617733933e-07,0.804059
concentrated,main,Isobe-APP,46,42,0.850759044978407,0.381849419825268,0.592858751144181,0.99995266671164,NaN,0.0181228
concentrated,main,RQE,46,23,0.798281137807684,0.624758647063973,0.702843767898643,0.389135516637,NaN,2.1179609
concentrated,main,MF-RQE,46,21,0.779195369740614,0.657568171316459,0.712300410607329,0.273686364048246,NaN,1.7640804
concentrated,main,CVaR-game,46,28,0.740531473036172,0.730907241485047,0.735238145683053,1.14996634136185e-05,NaN,0.7061126
concentrated,main,DRNE-VI,46,300,0.800306701056766,0.674324927277409,0.73101672547812,0.288843548536262,NaN,0.0089245
concentrated,main,Proposed-Base,47,21,0.758708618085069,0.71505883204016,0.734701235760369,0.100750880170019,0.0295114141954216,0.0063076
concentrated,main,Proposed-Anneal,47,78,0.774006160249515,0.770191684463555,0.771908198567237,9.53536826374343e-05,0.00315266793322022,0.0146271
concentrated,main,Proposed-Coherent,47,28,0.740725504881139,0.731201463105857,0.735487281904734,1.14996634136185e-05,4.66754617733933e-07,0.7690455
concentrated,main,Isobe-APP,47,42,0.847074380595523,0.38170223101594,0.591119698326752,0.999952543715388,NaN,0.0078358
concentrated,main,RQE,47,23,0.796801614964996,0.624036396002448,0.701780744535594,0.389135516637,NaN,1.617181
concentrated,main,MF-RQE,47,21,0.778131533993505,0.656906097755971,0.711457544062861,0.273686364048246,NaN,1.8293002
concentrated,main,CVaR-game,47,28,0.740725504881139,0.731201463105857,0.735487281904734,1.14996634136185e-05,NaN,0.7047873
concentrated,main,DRNE-VI,47,300,0.799243735754694,0.674094975071904,0.73041191737916,0.288843548536262,NaN,0.0066215
concentrated,main,Proposed-Base,48,21,0.757941938326605,0.714673185081384,0.734144124041733,0.100750739789342,0.0295114213692041,0.0085607
concentrated,main,Proposed-Anneal,48,78,0.773938539554725,0.770017066075584,0.771781729141197,9.53536826371132e-05,0.00315266793322022,0.0186916
concentrated,main,Proposed-Coherent,48,28,0.740563596541819,0.730331371341769,0.734935872681791,1.14996634136185e-05,4.66754617733933e-07,0.7578694
concentrated,main,Isobe-APP,48,42,0.83904404530962,0.378654530393831,0.585829812105936,0.999952661467819,NaN,0.0050139
concentrated,main,RQE,48,23,0.793887566028203,0.623583886671607,0.700220542382075,0.389135516637,NaN,1.6292309
concentrated,main,MF-RQE,48,21,0.776076817519833,0.656413422670765,0.710261950352846,0.273686364048246,NaN,1.7188178
concentrated,main,CVaR-game,48,28,0.740563596541819,0.730331371341769,0.734935872681791,1.14996634136185e-05,NaN,0.7316699
concentrated,main,DRNE-VI,48,300,0.797115838808685,0.673315371846504,0.729025581979486,0.288843548536262,NaN,0.0067117
concentrated,main,Proposed-Base,49,21,0.758211254082358,0.714907150831179,0.734393997294209,0.100751529803048,0.029511520302953,0.0041276
concentrated,main,Proposed-Anneal,49,78,0.773894094756382,0.76996673417448,0.771734046436336,9.53536826385422e-05,0.00315266793322055,0.0144054
concentrated,main,Proposed-Coherent,49,28,0.740491348487897,0.730600916580425,0.735051610938787,1.14996634136185e-05,4.66754617733933e-07,0.764683
concentrated,main,Isobe-APP,49,42,0.841763799688208,0.378094123967127,0.586745478041613,0.999952739540629,NaN,0.0049063
concentrated,main,RQE,49,23,0.794932468553219,0.623257036082454,0.700510980694299,0.389135516637,NaN,1.6669768
concentrated,main,MF-RQE,49,21,0.776820748068801,0.656303595830058,0.710536314337493,0.273686364048246,NaN,1.7369781
concentrated,main,CVaR-game,49,28,0.740491348487897,0.730600916580425,0.735051610938787,1.14996634136185e-05,NaN,0.7626221
concentrated,main,DRNE-VI,49,300,0.797846551246668,0.673503765916247,0.729458019314936,0.288843548536262,NaN,0.0099621
